frame_num,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,action_gt_num
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
