frame_num,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,action_gt_num
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7277777777777777,0.7413127413127413,,,0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7879656160458453,0.7338403041825095,,,0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,,,0.6298342541436464,0.897887323943662,0.8784530386740331,0.897887323943662,,,,,0.2569060773480663,0.897887323943662,,,,,,,,,,,,,,,,,,,,,0.8784530386740331,0.5035211267605634,0.4419889502762431,0.4225352112676056,0
28,,,0.5984455958549223,0.8961038961038961,0.8316062176165803,0.8961038961038961,,,,,0.24870466321243526,0.8246753246753247,,,,,,,,,,,,,,,,,,,,,0.8316062176165803,0.4577922077922078,0.4818652849740933,0.3863636363636364,0
29,,,0.5116279069767442,0.8485804416403786,0.772093023255814,0.9179810725552049,,,,,0.19767441860465115,0.7760252365930599,,,,,,,,,,,,,,,,,,,,,0.7209302325581395,0.4227129337539432,0.4069767441860465,0.3501577287066246,0
30,,,0.4918032786885246,0.8558558558558559,0.8056206088992974,0.921921921921922,,,,,0.1756440281030445,0.7207207207207207,,,,,,,,,,,,,,,,,,,,,0.7025761124121779,0.3813813813813814,0.3864168618266979,0.3813813813813814,0
31,,,0.4988558352402746,0.7885714285714286,0.8581235697940504,0.8542857142857143,,,,,0.18993135011441648,0.7257142857142858,,,,,,,,,,,,,,,,,,,,,0.7048054919908466,0.34,0.39588100686498856,0.34,0
32,,,0.4765432098765432,0.7257617728531855,0.8074074074074075,0.7867036011080333,,,,,0.19753086419753085,0.6620498614958449,0.03209876543209877,0.9113573407202216,,,,,,,,,,,,,,,,,,,0.6987654320987654,0.3518005540166205,0.3654320987654321,0.2880886426592798,0
